,id,amenity,est,nor,Ai,centers,label
30113,321650179,fast food,555881.193,186429.889,50.49,False,46
30115,321722642,bank,533559.47,185068.098,89.88,False,48
30116,321722644,jewellery,533559.785,185075.662,89.93,False,48
30117,321722645,bank,533532.601,185059.311,91.73,False,48
30118,321722646,marketplace,533698.408,185008.621,65.02,False,48
30119,321722647,variety store,533533.443,185082.712,92.04,False,48
30120,321722649,alcohol,533533.253,185077.555,92.06,True,48
30121,321722650,cafe,533532.02,185045.297,91.1,False,48
30122,321745645,fast food,533279.848,185378.861,53.68,False,48
30123,321784557,books,525480.241,185080.312,22.99,False,25
30124,321784558,cafe,525482.237,185055.114,23.69,False,25
30125,321784560,bicycle,525481.036,185074.824,23.18,False,25
30126,321784561,dentist,525482.074,185061.742,23.55,False,25
30127,321923625,restaurant,530917.334,175251.875,91.95,False,50
30128,321923626,furniture,530774.64,175188.386,59.82,False,50
30129,321923627,convenience,530984.625,175290.103,115.06,False,50
30130,321923629,fast food,530907.275,175247.332,89.06,False,50
30131,321923630,seafood,530802.125,175210.557,65.8,False,50
30132,321923632,car parts,530793.293,175206.38,64.1,False,50
30133,321923633,bank,530986.188,175298.511,117.24,False,50
30134,321923634,fast food,531035.93,175306.312,132.68,False,50
30135,321923635,bank,530899.444,175243.96,86.84,False,50
30136,321923638,convenience,530912.228,175249.607,90.49,False,50
30137,321923639,bar,530758.148,175190.399,57.85,False,50
30138,321923640,place of worship,530802.125,175210.557,65.8,False,50
30139,321923641,pub,531051.107,175304.622,136.11,False,50
30140,321923644,bar,530809.72,175213.901,67.16,False,50
30141,321923647,bank,530992.316,175325.119,124.13,False,50
30142,321923649,dentist,530864.927,175225.502,77.29,False,50
30143,321929813,convenience,531191.793,175336.276,165.54,False,50
30144,321929815,copyshop,531201.79,175338.67,164.8,False,50
30145,321929818,music,531176.232,175329.466,164.55,False,50
30146,321929819,optician,531114.073,175317.127,154.22,False,50
30147,321929820,cafe,531124.511,175321.001,157.49,False,50
30148,321929822,restaurant,531119.038,175320.281,156.28,False,50
30149,321929824,alcohol,531130.965,175324.16,159.63,False,50
30150,321929826,restaurant,531176.765,175335.21,166.65,False,50
30151,321929827,beauty,531180.148,175330.435,164.66,False,50
30152,321929828,confectionery,531164.89,175326.681,163.65,False,50
30153,321929830,hairdresser,531175.687,175339.556,168.18,False,50
30154,321929832,pub,531137.593,175323.986,160.47,False,50
30155,321929833,copyshop,531158.046,175328.185,163.98,False,50
30156,321967936,pub,529639.476,179541.709,67.12,False,82
30157,321971323,park,531109.428,178228.468,43.47,False,132
30158,322015312,shelter,530294.17,178213.309,39.01,False,132
30159,322086513,place of worship,518203.09,184055.342,13.02,False,36
30160,322112841,convenience,541458.89,183967.364,17.52,False,159
30161,322120316,place of worship,541475.854,183999.921,15.99,False,159
30162,322124076,cinema,541498.409,183254.276,19.09,False,159
30163,322127815,hairdresser,515264.388,187261.316,20.28,False,97
30164,322127817,stationery,515275.745,187249.446,20.12,False,97
30166,322140351,clothes,531186.999,175354.546,171.74,False,50
30167,322140352,hairdresser,531182.93,175303.957,152.99,False,50
30168,322140353,fast food,531165.766,175302.903,153.32,False,50
30169,322140354,beauty,531174.072,175304.596,153.93,False,50
30170,322140355,fast food,531234.175,175322.469,151.17,False,50
30171,322140357,restaurant,531161.403,175343.316,169.25,False,50
30172,322140358,pub,531267.483,175323.606,140.7,False,50
30173,322140359,butcher,531181.911,175364.775,174.22,False,50
30174,322140360,cafe,531168.653,175363.543,174.18,False,50
30175,322140361,beauty,531169.888,175303.743,153.67,False,50
30176,322140362,estate agent,531157.194,175303.516,153.46,False,50
30177,322140363,alcohol,531178.768,175351.096,171.46,False,50
30178,322140365,beauty,531178.775,175303.06,152.92,False,50
30179,322140366,hairdresser,531196.523,175306.199,152.31,False,50
30180,322140367,cafe,531244.417,175325.348,149.22,False,50
30181,322140368,cafe,531163.484,175332.175,165.7,False,50
30182,322140369,restaurant,531175.221,175350.092,171.34,False,50
30183,322140371,restaurant,531162.411,175336.866,167.29,False,50
30184,322140376,restaurant,531230.18,175316.202,149.71,False,50
30185,322142948,garden,533251.277,185528.346,46.89,False,48
30186,322145260,seafood,531205.731,175395.065,174.47,False,50
30187,322145261,butcher,531199.222,175400.016,175.21,False,50
30188,322145263,restaurant,531241.357,175393.091,166.42,False,50
30189,322145264,convenience,531211.618,175390.499,173.47,False,50
30190,322145265,bakery,531220.063,175382.148,171.24,False,50
30191,322145266,butcher,531192.359,175405.781,175.57,False,50
30192,322145268,convenience,531225.586,175367.147,167.59,False,50
30193,322145269,butcher,531260.264,175375.263,157.98,False,50
30194,322145270,fabric,531214.638,175383.6,172.53,False,50
30195,322145271,fabric,531228.776,175363.401,165.91,False,50
30196,322145272,clothes,531255.098,175380.427,160.71,False,50
30197,322145273,pawnbroker,531232.38,175360.323,164.14,False,50
30198,322148219,jewellery,531207.991,175370.187,172.13,False,50
30199,322148220,restaurant,531196.519,175367.365,173.38,False,50
30200,322148221,restaurant,531199.488,175358.974,171.26,False,50
30201,322148222,fast food,531191.823,175356.707,171.76,False,50
30202,322148224,butcher,531215.488,175377.346,171.72,False,50
30203,322148225,gift,531208.033,175361.308,170.32,False,50
30204,322148227,fast food,531203.244,175368.585,172.66,False,50
30205,322148228,cafe,531187.567,175365.966,174.06,False,50
30206,322148230,seafood,531211.098,175373.16,172.02,False,50
30211,322270218,hotel,515265.934,187230.519,20.69,False,97
30212,322270225,restaurant,515260.947,187224.242,20.89,False,97
30213,322270228,restaurant,515255.498,187218.411,21.03,False,97
30214,322270232,cafe,515243.409,187203.015,21.23,False,97
30215,322270261,cafe,515219.313,187153.735,21.71,False,97
30216,322270280,estate agent,515207.613,187096.836,22.31,False,97
30217,322270298,estate agent,515185.451,187070.109,23.23,False,97
30218,322270302,restaurant,515183.118,187063.825,23.26,False,97
30219,322270304,restaurant,515178.37,187052.491,23.2,False,97
30220,322270332,pub,515172.582,187024.377,22.38,False,138
30221,322270358,estate agent,515140.737,187023.065,22.42,False,138
30222,322426209,parking,512349.764,189440.121,19.09,False,66
30223,322426210,parking,512408.708,189405.904,15.18,False,66
30224,322427541,supermarket,531925.418,172300.644,19.15,False,105
30225,322432645,school,527950.594,176517.441,33.64,False,136
30226,322451520,garden,530361.169,178330.56,40.56,False,132
30229,322679179,place of worship,533241.297,185644.603,41.68,False,48
30230,322679182,playground,533231.616,185604.544,43.41,False,48
30231,322700780,playground,529582.919,186966.399,55.48,False,103
30232,322700781,garden,529713.158,187164.707,39.25,False,103
30233,322700783,garden,529757.076,187174.176,39.35,False,103
30234,322700784,garden,529821.497,187269.92,38.17,False,103
30235,322700791,fast food,529858.096,187189.535,40.56,False,103
30236,322701864,garden,529543.853,186957.747,58.5,False,103
30239,322782250,parking,524497.643,183636.372,39.78,False,6
30240,322827240,parking,514822.238,188505.367,12.02,False,97
30241,322827241,parking,514868.133,188465.853,14.03,False,97
30242,322853418,shelter,514925.995,186891.359,21.17,False,129
30243,322853419,shelter,514899.48,186917.953,22.3,False,129
30244,322853420,shelter,514900.202,186914.586,22.27,False,129
30245,322853421,shelter,514889.893,186928.272,22.28,False,129
30246,322853422,shelter,514915.612,186940.426,21.96,False,129
30247,322853423,parking,514922.676,186944.758,21.77,False,129
30250,322862022,parking,514183.921,187274.451,19.52,False,164
30251,322862785,parking,514817.304,187052.868,19.55,False,97
30252,322872933,convenience,525403.132,175137.182,26.67,False,162
30256,322959268,pub,532137.379,178073.608,31.76,False,132
30257,322959300,kindergarten,532169.672,178014.981,32.64,False,132
30258,322959324,convenience,532182.393,178001.057,33.11,False,132
30259,322959340,supermarket,532401.706,178052.439,42.58,False,132
30260,322962466,school,531132.969,175930.719,39.05,False,50
30261,322970462,cafe,532482.572,177866.465,43.85,False,4
30262,322970463,restaurant,532496.199,177879.483,42.59,False,4
30263,322975294,restaurant,532444.279,177802.608,46.07,False,4
30264,322979603,pharmacy,532457.348,177993.409,42.47,False,4
30265,322981769,fast food,532290.17,178317.045,44.38,False,132
30266,323047367,computer,525798.06,175669.235,29.07,False,149
30267,323047368,electronics,525815.158,175624.437,29.15,False,149
30268,323047369,cafe,525828.238,175661.891,30.01,False,149
30269,323120790,parking,514339.698,186546.464,34.48,False,129
30270,323120791,parking,514491.016,186651.147,24.02,False,129
30271,323120792,parking,514652.906,186799.8,22.02,False,129
30272,323172990,playground,534516.079,182993.133,33.23,False,150
30273,323257951,playground,527044.041,182969.364,22.67,False,133
30275,323564038,place of worship,523734.225,177873.058,20.14,False,161
30278,323613215,garden,532197.519,196693.932,16.48,False,96
30279,323623321,place of worship,512427.266,179290.749,13.12,False,23
30281,323796333,restaurant,533012.456,182497.887,134.49,False,52
30282,323796747,bar,533045.726,182512.436,139.53,False,52
30283,323861304,parking,524054.538,175182.265,61.18,False,154
30284,323974317,restaurant,531149.587,175345.971,169.01,False,50
30285,323974318,restaurant,531154.925,175346.799,169.77,False,50
30286,323974320,restaurant,531131.676,175343.218,165.72,False,50
30287,323974322,seafood,531137.515,175361.294,170.81,False,50
30288,323974325,cafe,531157.485,175362.654,173.44,False,50
30295,324121425,restaurant,531279.069,175422.349,149.56,False,50
30296,324121429,clothes,531258.876,175424.266,158.09,False,50
30297,324121435,houseware,531282.137,175390.159,150.27,False,50
30298,324121437,fabric,531249.272,175429.826,160.33,False,50
30299,324121438,clothes,531266.003,175408.281,157.4,False,50
30300,324121439,hardware,531272.665,175386.054,154.41,False,50
30301,324121440,clothes,531294.068,175388.42,143.92,False,50
30302,324121441,restaurant,531267.154,175423.455,154.85,False,50
30303,324121442,restaurant,531276.208,175428.707,149.72,False,50
30304,324121443,cafe,531278.205,175398.982,152.31,False,50
30305,324121445,butcher,531247.933,175396.555,164.52,False,50
30306,324121448,houseware,531276.645,175402.87,152.94,False,50
30307,324121455,restaurant,531269.868,175395.306,156.15,False,50
30308,324121456,cafe,531271.031,175410.581,155.0,False,50
30309,324121458,restaurant,531283.366,175372.966,147.64,False,50
30310,324121459,restaurant,531269.741,175399.687,156.21,False,50
30311,324121460,fast food,531224.176,175418.386,169.47,False,50
30312,324121464,restaurant,531251.425,175393.206,163.23,False,50
30313,324121470,clothes,531290.443,175396.905,146.06,False,50
30314,324121471,seafood,531237.643,175406.104,167.39,False,50
30315,324121473,fast food,531296.47,175381.794,142.08,False,50
30316,324121474,restaurant,531288.05,175377.315,146.0,False,50
30317,324121475,convenience,531240.806,175426.303,163.76,False,50
30318,324121476,cafe,531278.265,175367.827,149.01,False,50
30319,324121477,restaurant,531275.76,175387.313,153.13,False,50
30320,324121478,clothes,531262.728,175435.537,153.98,False,50
30321,324121480,restaurant,531252.366,175419.001,161.41,False,50
30322,324121482,clothes,531292.339,175392.67,145.02,False,50
30323,324121483,restaurant,531283.798,175411.745,148.66,False,50
30324,324121484,cafe,531267.783,175413.891,156.07,False,50
30325,324121485,convenience,531245.208,175418.138,163.9,False,50
30326,324121487,art,531252.685,175404.756,162.81,False,50
30327,324121488,confectionery,531228.557,175402.909,169.89,False,50
30328,324121490,music,531283.707,175386.962,149.29,False,50
30329,324121492,boutique,531257.647,175433.381,156.5,False,50
30330,324121493,clothes,531255.461,175422.731,159.67,False,50
30331,324121500,restaurant,531234.969,175423.816,165.89,False,50
30332,324121502,boutique,531285.056,175383.18,148.27,False,50
30333,324121503,clothes,531273.832,175434.065,149.61,False,50
30338,324538696,place of worship,512945.381,179961.762,12.62,False,23
30343,324575846,parking,512407.894,179078.906,11.57,False,111
30344,324575848,parking,512353.255,179103.209,12.24,False,111
30345,324577257,place of worship,512372.698,179091.289,12.12,False,111
30346,324577975,place of worship,512339.825,179045.981,11.52,False,111
30353,324737722,pub,527113.765,176133.095,63.38,False,136
30354,324739974,convenience,518058.053,167307.915,50.64,False,80
30356,324757119,garden,531342.79,179268.756,55.02,False,72
30359,324819631,place of worship,512586.604,179583.462,14.25,False,23
30376,324977127,estate agent,527094.684,176170.862,63.16,False,136
30377,324977132,cafe,527084.045,176182.815,62.34,False,136
30378,324977135,restaurant,527074.687,176197.18,61.09,False,136
30379,324989918,school,512480.703,179354.604,13.02,False,23
30380,324991701,parking,528322.402,176674.415,33.93,False,62
30382,325005689,college,525645.784,178312.564,58.23,False,158
30387,325168264,cafe,525686.472,174649.154,71.62,False,162
30389,325208608,pub,531835.934,180990.836,105.01,False,94
30390,325254480,car parts,518052.9,191242.875,15.08,False,49
30391,325254481,car parts,518042.791,191243.229,14.65,False,49
30392,325254482,restaurant,518126.107,191251.615,15.53,False,49
30393,325254484,dry cleaning,518067.605,191241.872,15.49,False,49
30394,325254486,cafe,518136.158,191246.965,15.31,False,49
30395,325254487,pharmacy,518105.996,191242.935,15.77,True,49
30396,325254488,hairdresser,518116.598,191245.552,15.71,False,49
30397,325254489,hairdresser,518078.02,191240.58,15.64,False,49
30398,325254491,beauty,518110.919,191250.237,15.75,False,49
30399,325254492,car rental,518173.444,191241.149,13.6,False,49
30400,325254572,alcohol,518155.506,191252.735,14.57,False,49
30401,325254575,restaurant,518150.322,191252.236,14.82,False,49
30402,325254576,car parts,518048.165,191242.442,14.9,False,49
30403,325254579,florist,518145.559,191250.545,15.01,False,49
30404,325254582,supermarket,518085.743,191246.613,15.71,False,49
30405,325254584,optician,518062.56,191244.603,15.37,False,49
30406,325302610,parking,538571.919,188623.472,22.79,False,84
30407,325386537,grave yard,526811.562,176865.167,34.35,False,149
30409,325480054,park,536368.503,185395.801,12.8,False,60
30410,325489265,doctors,536373.992,185453.592,12.22,False,60
30411,325568661,butcher,531131.146,175368.919,170.95,False,50
30412,325568665,beauty,531205.824,175424.333,171.79,False,50
30413,325568666,butcher,531183.345,175392.519,176.49,True,50
30414,325568667,butcher,531190.147,175399.637,176.05,False,50
30415,325568668,beauty,531183.941,175440.605,170.95,False,50
30416,325568670,convenience,531178.978,175383.126,176.32,False,50
30417,325568671,butcher,531138.474,175369.408,172.23,False,50
30418,325568672,houseware,531219.616,175452.095,162.6,False,50
30419,325568674,beauty,531170.6,175378.07,176.0,False,50
30420,325568675,convenience,531145.315,175370.152,173.28,False,50
30421,325568676,butcher,531220.501,175474.395,155.39,False,50
30422,325568677,pub,531278.778,175307.718,131.0,False,50
30423,325568678,convenience,531187.274,175409.455,175.6,False,50
30424,325568679,variety store,531219.878,175461.594,159.7,False,50
30425,325568680,bag,531217.862,175414.429,171.3,False,50
30426,325568681,variety store,531211.8,175419.536,171.68,False,50
30427,325568682,restaurant,531251.132,175354.452,156.5,False,50
30428,325568684,butcher,531160.786,175372.943,175.11,False,50
30429,325581036,convenience,531104.487,175392.212,167.55,False,50
30430,325581037,beauty,531091.096,175359.698,160.56,False,50
30431,325581038,convenience,531084.213,175360.288,158.82,False,50
30432,325581039,variety store,531093.908,175392.729,164.99,False,50
30433,325581040,bakery,531077.443,175393.774,160.45,False,50
30434,325581041,beauty,531099.331,175392.413,166.34,False,50
30435,325581042,convenience,531085.769,175393.265,162.82,False,50
30436,325581043,mobile phone,531072.957,175388.74,158.83,False,50
30437,325581044,variety store,531076.056,175360.991,156.63,False,50
30438,325581045,seafood,531110.206,175392.036,168.78,False,50
30439,325888139,convenience,533532.775,185065.113,91.91,False,48
30440,325888140,pawnbroker,533533.006,185071.64,92.02,False,48
30441,325888142,butcher,533531.669,185035.173,90.5,False,48
30442,325888143,seafood,533531.472,185030.204,90.16,False,48
30443,325888144,bakery,533531.284,185025.236,89.76,False,48
30444,325888145,pub,533530.594,185019.82,89.29,False,48
30446,326010130,restaurant,512302.949,179399.237,12.25,False,90
30447,326054182,cafe,533314.647,181576.678,234.3,False,52
30449,326056221,fast food,525783.821,175208.81,40.41,False,162
30450,326056244,car wash,525824.913,175129.723,47.88,False,162
30451,326089462,playground,527154.098,175117.784,71.73,False,136
30452,326115454,parking,538726.076,188950.173,19.64,False,28
30453,326115457,parking,538631.808,188895.708,24.38,False,28
30458,326122980,place of worship,532895.031,196301.927,35.01,False,96
30459,326122985,school,532959.785,196367.782,39.71,False,96
30460,326142584,nightclub,512482.821,179518.758,13.8,False,23
30464,326197138,garden,526168.435,175491.742,46.41,False,18
30465,326197139,garden,526128.578,175448.696,46.79,False,18
30466,326197140,garden,526101.127,175490.387,44.27,False,18
30467,326197428,garden,526242.482,175490.329,47.82,False,18
30468,326197429,garden,526202.067,175534.602,45.63,False,18
30469,326197430,garden,526234.921,175517.769,47.0,False,18
30470,326197431,garden,526217.737,175544.86,45.31,False,18
30471,326197432,garden,526218.061,175510.987,47.07,False,18
30472,326197433,garden,526210.323,175522.879,46.46,False,18
30473,326197434,garden,526192.233,175550.325,44.24,False,18
30474,326197435,garden,526207.655,175560.177,43.93,False,18
30475,326197436,garden,526263.949,175565.267,44.21,False,18
30479,326233946,fuel,523358.82,184634.621,16.62,False,65
30480,326243106,garden,530885.402,180148.315,78.67,False,72
30481,326277354,hospital,536059.272,185061.11,19.0,False,60
30482,326309773,mobile phone,531003.826,175356.194,132.66,False,50
30483,326309774,cafe,531029.265,175469.19,140.99,False,50
30484,326309776,health food,531001.141,175371.948,133.15,False,50
30485,326309777,variety store,531022.438,175448.94,140.69,False,50
30486,326309778,bank,531000.45,175352.079,131.01,False,50
30487,326309779,optician,531000.997,175366.748,132.7,False,50
30488,326309780,cosmetics,531019.505,175438.161,140.37,False,50
30489,326311938,carpet,531147.02,175465.624,166.86,False,50
30490,326311939,pawnbroker,531107.258,175492.173,157.78,False,50
30491,326311940,fabric,531136.317,175472.57,164.97,False,50
30492,326311941,hairdresser,531098.201,175492.185,156.35,False,50
30493,326311942,cafe,531121.419,175481.054,161.98,False,50
30494,326311943,clothes,531158.059,175458.553,168.41,False,50
30495,326311944,mobile phone,531165.374,175453.578,169.28,False,50
30496,326311947,seafood,531113.691,175485.039,160.25,False,50
30497,326313159,bureau de change,531126.126,175512.033,153.7,False,50
30498,326313163,clothes,531177.768,175510.481,151.34,False,50
30499,326313164,clothes,531172.899,175510.623,152.02,False,50
30500,326313165,fabric,531194.802,175483.046,158.14,False,50
30501,326313166,butcher,531148.54,175511.286,153.96,False,50
30502,326313167,clothes,531134.161,175511.772,153.98,False,50
30503,326313168,convenience,531158.286,175511.014,153.49,False,50
30504,326313169,cafe,531153.417,175511.156,153.78,False,50
30505,326313170,hairdresser,531168.024,175510.742,152.61,False,50
30506,326328749,pub,533114.559,181000.873,199.2,False,52
30507,326333065,parking,523536.229,184882.125,12.34,False,65
30508,326333066,pharmacy,523458.199,184900.666,12.71,False,65
30509,326371098,garden,533125.309,182057.582,124.05,False,52
30510,326372060,car repair,514482.848,182650.972,13.44,False,47
30511,326376090,parking,530547.61,178775.588,34.31,False,132
30512,326376297,restaurant,530431.429,177961.24,45.07,False,132
30513,326376298,convenience,530421.894,177979.801,45.72,False,132
30516,326446441,school,512611.432,180088.753,18.36,False,23
30519,326537222,garden,512577.671,179712.803,15.14,False,23
30521,326538304,place of worship,512583.564,179635.463,14.62,False,23
30522,326540029,playground,512582.321,179408.722,12.3,False,23
30523,326541441,place of worship,512319.309,179402.369,12.53,False,90
30526,326570086,bank,512620.86,179966.898,18.76,False,23
30527,326570331,restaurant,512669.334,179957.214,19.03,False,23
30528,326570839,dentist,512674.63,179972.629,19.16,False,23
30529,326570950,dentist,512686.249,179984.992,19.08,False,23
30530,326571392,parking,512566.453,180026.83,17.61,False,23
30531,326571714,sports centre,512430.576,180026.804,13.05,False,23
30532,326571715,college,512522.336,180021.024,16.28,False,23
30533,326572022,doctors,512507.719,179954.334,15.52,False,23
30534,326606368,college,512965.487,180406.536,21.04,False,23
30535,326607002,supermarket,513007.702,180324.831,19.05,False,23
30540,326803305,clinic,532995.527,181231.916,188.0,False,52
30541,326909125,variety store,531053.613,175611.791,110.4,False,50
30542,326909129,clothes,531038.1,175531.253,131.89,False,50
30543,326909130,shoes,531040.626,175541.933,129.73,False,50
30544,326909131,clothes,531043.532,175552.434,127.4,False,50
30545,326914177,convenience,531167.4,175484.799,161.5,False,50
30546,326914178,bar,531132.454,175490.341,160.57,False,50
30547,326914179,books,531149.422,175487.318,161.72,False,50
30548,326914180,hardware,531116.979,175493.647,158.57,False,50
30549,326914181,carpet,531141.035,175488.815,161.28,False,50
30550,326914182,cafe,531100.549,175498.454,155.24,False,50
30551,326914183,cafe,531176.819,175484.207,160.65,False,50
30552,326914186,cafe,531092.3,175501.079,153.12,False,50
30553,326914187,cafe,531083.851,175503.955,150.65,False,50
30554,326914188,pawnbroker,531075.591,175506.769,147.99,False,50
30556,327108906,car repair,512583.348,179857.132,16.67,False,23
30557,327112298,car repair,512260.86,179246.216,12.03,False,111
30558,327114623,parking,512407.001,179255.944,13.0,False,90
30559,327208671,school,525929.685,174601.884,49.56,False,162
30560,327208673,place of worship,526031.171,174447.794,35.32,False,162
30561,327208676,park,526013.279,174443.234,36.26,False,162
30562,327211074,convenience,526229.675,174738.901,50.22,False,162
30563,327211521,bicycle,525761.779,174283.527,50.9,False,162
30564,327211522,sports,525762.375,174277.133,50.18,False,162
30565,327211807,sports,525690.238,174416.786,74.7,False,162
30566,327223879,library,525684.858,174572.851,76.52,False,162
30567,327224911,garden,525863.556,174734.117,54.99,False,162
30568,327230416,parking,512895.286,180497.478,20.02,False,23
30569,327261692,supermarket,528407.745,176699.301,31.81,False,62
30572,327416726,bathroom furnishing,514544.898,182713.797,13.76,False,47
30573,327417005,car repair,514510.225,182722.307,13.83,False,47
30574,327426281,pub,517768.595,169278.415,33.22,False,143
30577,327516032,parking,538729.634,188589.016,15.58,False,84
30578,327516037,parking,538762.099,188622.48,15.0,False,84
30583,327676870,parking,518670.734,178001.2,14.49,False,118
30584,327677823,parking,518582.869,177967.03,15.0,False,53
30586,327749899,place of worship,517024.708,179733.232,12.45,False,141
30587,327750337,place of worship,516850.52,179690.841,14.78,False,141
30590,327850465,restaurant,533120.901,182423.482,145.37,False,52
30592,327890338,parking,532934.272,184845.404,54.94,False,48
30593,327890339,craft,532940.81,184829.673,54.6,False,48
30594,327890340,convenience,532951.254,184832.017,54.2,False,48
30595,327960869,convenience,532919.631,184827.459,55.21,False,48
30596,327989806,parking,528915.149,176578.467,15.95,False,62
30597,327989807,car wash,528962.012,176555.752,15.05,False,62
30598,327989808,parking,528930.935,176515.163,15.4,False,62
30601,328447825,childcare,538385.698,183489.169,16.46,False,107
30602,328447846,playground,538460.802,183450.765,14.49,False,107
30603,328447848,playground,538400.284,183477.837,16.12,False,107
30604,328572823,pub,522602.76,167634.396,14.96,False,113
30605,328674843,restaurant,528087.882,196298.41,29.81,False,51
30606,328674844,fast food,528088.171,196292.764,30.13,False,51
30607,328674845,restaurant,528111.198,196268.243,31.61,False,51
30608,328674847,restaurant,528091.105,196281.589,30.71,False,51
30609,328674848,cafe,528080.461,196300.904,29.34,False,51
30610,328674850,restaurant,528104.072,196274.651,31.3,False,51
30611,328674851,hairdresser,528097.205,196290.267,30.49,False,51
30612,328674852,mobile phone,528122.467,196246.919,32.32,False,51
30613,328674853,convenience,528117.476,196256.774,32.02,False,51
30614,328674854,bookmaker,528086.824,196309.344,29.02,False,51
30615,328674857,convenience,528093.758,196276.882,30.96,False,51
30616,328680337,garden,528219.392,196166.811,38.75,False,51
30617,328680338,garden,528203.587,196151.81,39.36,False,51
30618,328680339,garden,528214.947,196156.17,39.54,False,51
30619,328680340,restaurant,528244.761,196113.307,42.46,False,51
30620,328680341,optician,528243.458,196165.807,38.7,False,51
30621,328680342,florist,528244.062,196152.369,39.93,False,51
30622,328680344,beauty,528250.277,196169.074,38.06,False,51
30623,328680345,dry cleaning,528253.77,196098.146,43.06,False,51
30624,328680346,clothes,528274.742,196053.21,42.84,False,51
30625,328680348,bookmaker,528234.081,196139.464,41.02,False,51
30626,328680350,cafe,528237.187,196148.6,40.4,False,51
30627,328680351,carpet,528244.662,196158.46,39.38,False,51
30628,328680352,convenience,528251.533,196104.499,42.82,False,51
30629,328680353,seafood,528256.469,196092.973,43.18,False,51
30630,328680354,bakery,528246.071,196108.867,42.7,False,51
30631,328680356,bank,528262.082,196075.801,43.39,False,51
30632,328680357,bakery,528260.149,196088.16,43.19,False,51
30633,328680358,clothes,528232.732,196145.16,40.67,False,51
30634,328680359,restaurant,528268.288,196066.946,43.16,False,51
30635,328680364,pharmacy,528262.343,196082.707,43.24,False,51
30636,328682698,garden,528246.208,196060.31,43.74,True,51
30637,328682699,garden,528234.618,196085.22,43.39,False,51
30638,328682700,garden,528255.493,196038.601,43.39,False,51
30639,328682701,garden,528273.867,195991.542,41.29,False,51
30640,328682702,restaurant,528293.896,196010.043,41.14,False,51
30641,328682703,deli,528286.981,196023.399,41.93,False,51
30642,328682704,dentist,528292.599,195999.495,40.87,False,51
30643,328682706,hairdresser,528302.234,195982.87,39.32,False,51
30644,328682707,hairdresser,528289.131,196017.489,41.68,False,51
30645,328682708,bathroom furnishing,528284.765,196029.718,42.14,False,51
30646,328682709,restaurant,528298.553,195994.282,40.2,False,51
30647,328682710,restaurant,528303.734,195977.767,38.89,False,51
30648,328816302,parking,526518.577,175013.056,80.21,False,18
30649,328864222,carpet,528254.651,195928.951,36.95,False,51
30650,328864223,beauty,528217.691,196029.253,42.17,False,51
30651,328864224,optician,528210.668,196051.574,42.36,False,51
30652,328864226,restaurant,528251.962,195939.488,37.77,False,51
30653,328864227,butcher,528232.632,196007.054,41.85,False,51
30654,328864228,veterinary,528205.747,196062.199,42.08,False,51
30655,328864229,clothes,528248.655,195951.154,38.62,False,51
30656,328864231,hairdresser,528241.041,195977.857,40.41,False,51
30657,328864232,restaurant,528193.401,196078.177,41.02,False,51
30658,328864233,convenience,528236.311,195994.896,41.33,False,51
30659,328864234,pharmacy,528214.944,196033.845,42.18,False,51
30660,328864237,bank,528211.035,196042.804,42.2,False,51
30661,328864238,cafe,528242.961,195970.951,39.98,False,51
30662,328923465,garden,526173.778,173838.623,12.6,False,162
30664,328937236,fast food,533451.574,181649.402,241.89,False,52
30665,328937237,pub,533464.993,181649.711,242.12,True,52
30666,329058108,sports centre,530046.427,183320.398,67.75,False,121
30667,329058177,park,529557.156,184732.987,29.24,False,98
30668,329058541,park,529728.2,185465.208,20.32,False,34
30669,329061221,park,529704.262,185499.837,20.23,False,34
30670,329091141,park,528981.86,185848.233,34.54,False,103
30672,329098888,cafe,526223.469,174250.467,19.24,False,162
30673,329181818,hospital,530711.827,182489.834,77.46,False,121
30674,329306347,hairdresser,533622.175,181530.616,228.65,False,52
30675,329363466,hardware,528264.808,195892.299,34.12,False,51
30676,329363467,restaurant,528274.941,195858.238,30.94,False,51
30677,329363469,dentist,528281.775,195825.173,27.84,False,51
30678,329363470,clothes,528262.07,195904.459,35.08,False,51
30679,329363471,fast food,528270.435,195880.879,33.07,False,51
30680,329363475,clothes,528280.208,195831.554,28.47,False,51
30681,329363476,shoes,528263.579,195897.898,34.58,False,51
30682,329363477,clothes,528266.131,195886.545,33.61,False,51
30683,329363478,jewellery,528277.503,195843.236,29.56,False,51
30684,329371166,hotel,529359.52,178439.542,89.17,False,82
30685,329446330,bicycle,533872.791,181413.211,164.6,False,52
30686,329446331,restaurant,533878.033,181404.758,162.69,False,52
30687,329446332,hardware,533883.439,181396.432,160.69,False,52
30695,329495420,place of worship,531116.315,189335.529,15.91,False,117
30697,329708222,parking,518129.19,169882.643,14.86,False,143
30698,329742885,park,529799.016,186430.819,51.95,False,103
30700,329844092,sports centre,528258.831,185791.013,16.05,False,103
30701,329871502,garden,523896.765,176219.815,19.1,False,154
30702,329871503,garden,523921.088,176230.643,19.18,False,154
30703,329872852,school,525637.317,175751.69,23.81,False,149
30704,329872854,school,525391.074,175834.592,17.77,False,149
30705,329872855,sports centre,525309.471,175773.567,15.54,False,149
30706,329908147,hotel,518889.392,185441.797,38.11,False,36
30707,329942757,school,525428.139,176222.198,34.2,False,149
